;0;4;4;-41;-3;-8;-20;3;-14;-17;-13;-12;-15;-18;-1;-5;-14;-8;-24;-23;-7;-2;-6;-19;-6
;-2;5;3;-43;-5;-15;-19;7;-14;-19;-7;-10;-14;-18;0;-5;-14;-6;-23;-22;-13;-5;-6;-19;-7
;-3;4;2;-43;-4;-19;-20;5;-13;-24;-8;-12;-13;-15;1;-9;-12;-11;-24;-33;-14;-6;-5;-20;-5
;-3;4;2;-44;-3;-19;-19;7;-17;-24;-11;-27;-18;-14;-1;-15;-17;-9;-23;-37;-16;-9;-7;-20;-6
;-3;-9;2;-44;-2;-20;-19;3;-17;-25;-26;-30;-22;-15;0;-14;-17;-9;-26;-36;-17;-11;-12;-21;-10
;-3;-1;6;-45;0;-22;-21;7;-19;-24;-26;-31;-22;-14;-1;-11;-20;-9;-27;-33;-15;-12;0;-25;-15
;-8;-2;7;-45;-3;-21;-25;3;-17;-24;-27;-30;-29;-15;0;-9;-24;-11;-35;-32;-15;-13;-3;-28;-14
;-13;2;-6;-47;-3;-17;-26;4;-19;-24;-27;-32;-29;-14;-13;-10;-30;-11;-34;-39;-15;-17;-3;-36;-20
;-13;-1;-6;-48;-3;-25;-33;5;-17;-31;-27;-37;-30;-15;-15;-8;-28;-18;-32;-40;-15;-18;-7;-37;-20
;-11;5;-8;-49;4;-25;-36;8;-19;-30;-30;-37;-31;-14;-11;-8;-27;-17;-38;-41;-24;-16;-6;-38;-27
;-15;6;-7;-49;2;-25;-39;10;-17;-29;-30;-38;-32;-15;-12;-8;-25;-18;-34;-44;-24;-16;-5;-38;-33
;-12;5;-14;-50;4;-27;-39;12;-19;-32;-30;-37;-32;-14;-14;-8;-27;-23;-35;-45;-25;-17;-12;-39;-37
;-16;5;-13;-52;4;-27;-40;10;-17;-32;-29;-42;-37;-15;-15;-8;-25;-23;-35;-46;-25;-19;-6;-37;-37
;-20;4;-13;-52;-2;-27;-41;7;-19;-31;-32;-44;-39;-14;-17;-8;-27;-26;-37;-48;-29;-25;-6;-41;-37
;-20;2;-12;-53;-1;-27;-42;6;-17;-30;-30;-48;-40;-14;-15;-8;-25;-27;-38;-48;-29;-24;-9;-44;-38
;-22;4;-13;-53;1;-28;-43;4;-19;-33;-30;-48;-41;-15;-19;-9;-27;-26;-37;-48;-30;-39;-8;-45;-38
;-21;4;-17;-53;0;-30;-44;5;-17;-26;-28;-50;-42;-14;-14;-10;-25;-27;-38;-48;-29;-40;-9;-45;-39
;-23;3;-17;-53;3;-30;-46;4;-19;-39;-28;-50;-42;-21;-17;-11;-27;-28;-37;-48;-31;-42;-10;-44;-39
;-21;3;-16;-53;5;-30;-47;4;-17;-33;-23;-51;-43;-18;-16;-12;-25;-29;-38;-48;-30;-40;-12;-45;-39
;-23;1;-24;-52;2;-30;-46;2;-19;-37;-30;-50;-43;-15;-25;-20;-33;-29;-37;-48;-31;-40;-11;-46;-39
;-23;0;-24;-53;4;-30;-46;-2;-17;-38;-34;-51;-44;-15;-23;-21;-34;-31;-38;-51;-32;-40;-12;-46;-39
;-24;-1;-25;-52;4;-30;-46;-4;-19;-39;-33;-51;-43;-14;-28;-24;-36;-31;-37;-50;-33;-43;-21;-46;-41
;-24;-2;-25;-53;1;-30;-47;-3;-17;-39;-33;-51;-45;-15;-27;-22;-36;-31;-38;-51;-32;-43;-13;-46;-43




























































